id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label,cluster_id
1827163,1875157,4,1.9730028737368677,0.2857142857142857,80,0.5269230769230769,1.0,8,-1,1.0
1827163,1879736,1,0.3898712452512801,0.0416666666666666,136,0.0769230769230769,0.5,1,-1,-1.0
1827163,1888203,1,0.3898712452512801,0.0625,72,0.0769230769230769,0.5,1,-1,-1.0
1827163,1888465,7,3.790403812355968,0.7777777777777778,64,1.101923076923077,1.0,13,-1,1.0
1827163,1888475,4,2.2044665630451994,0.4444444444444444,40,0.65,1.0,5,-1,1.0
1827163,1888904,1,0.3898712452512801,0.0625,72,0.0769230769230769,0.5,1,-1,-1.0
1827163,1890217,1,0.4342944819032517,0.0833333333333333,40,0.1,0.5,2,-1,-1.0
1827163,1890236,1,0.4342944819032517,0.0833333333333333,40,0.1,0.5,0,-1,-1.0
1827163,1890416,4,1.7859624210805074,0.4444444444444444,40,0.4269230769230769,1.0,8,-1,1.0
1827163,1896013,1,0.3898712452512801,0.0625,72,0.0769230769230769,0.5,1,-1,-1.0
1827163,1898860,4,2.01742611038884,0.2352941176470588,104,0.55,1.0,0,-1,1.0
1827163,1900787,1,0.3898712452512801,0.0666666666666666,64,0.0769230769230769,0.5,1,-1,-1.0
1827163,1905644,1,0.3898712452512801,0.0625,72,0.0769230769230769,0.5,1,-1,-1.0
1827163,1905921,4,2.2044665630451994,0.4444444444444444,40,0.65,1.0,9,-1,1.0
1827163,1909662,1,0.3898712452512801,0.0666666666666666,64,0.0769230769230769,0.5,1,-1,-1.0
1827163,1911482,1,0.3898712452512801,0.0666666666666666,64,0.0769230769230769,0.5,1,-1,-1.0
1827163,1918237,1,0.4342944819032517,0.0833333333333333,40,0.1,0.5,2,-1,-1.0
1827197,1831055,1,0.369269373068855,0.0909090909090909,35,0.0666666666666666,0.5,2,-1,-1.0
1827197,1833137,1,0.318928988903801,0.0714285714285714,56,0.0434782608695652,0.5,2,-1,-1.0
1827197,1835154,1,0.318928988903801,0.0476190476190476,105,0.0434782608695652,0.5,2,-1,-1.0
1827197,1838582,1,0.318928988903801,0.0769230769230769,49,0.0434782608695652,0.5,2,-1,-1.0
1827197,1840432,6,2.779553363984611,0.25,161,0.6952380952380951,1.0,7,-1,1.0
1827197,1840991,1,0.369269373068855,0.0769230769230769,49,0.0666666666666666,0.5,4,-1,-1.0
1827197,1846699,6,2.729212979819557,0.375,105,0.6720496894409936,1.0,11,-1,1.0
1827197,1846792,3,1.2378583368753586,0.3333333333333333,35,0.2666666666666667,0.5,4,-1,-1.0
1827197,1849210,6,2.66418787098516,0.5454545454545454,70,0.6387163561076604,1.0,11,-1,1.0
1827197,1849334,1,0.318928988903801,0.0909090909090909,35,0.0434782608695652,0.5,2,-1,-1.0
1827197,1853971,1,0.369269373068855,0.0909090909090909,35,0.0666666666666666,0.5,2,-1,-1.0
1827197,1854199,1,0.369269373068855,0.0666666666666666,63,0.0666666666666666,0.5,2,-1,-1.0
1827197,1857191,1,0.318928988903801,0.0526315789473684,91,0.0434782608695652,0.5,2,-1,-1.0
