id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1833818,1946363,5,2.7905531327562363,0.38461538461538464,72,0.8333333333333333,1.0,6,-1
1833818,1951891,3,2.164042561333445,0.23076923076923078,48,0.75,1.0,7,-1
1833818,1985661,5,2.7905531327562363,0.38461538461538464,72,0.8333333333333333,1.0,9,-1
1833818,1985669,5,2.7905531327562363,0.38461538461538464,72,0.8333333333333333,1.0,6,-1
1833818,2001070,3,2.164042561333445,0.23076923076923078,48,0.75,1.0,7,-1
1833818,2003870,3,2.164042561333445,0.23076923076923078,48,0.75,1.0,7,-1
1834157,1974986,3,2.164042561333445,0.6,16,0.75,1.0,0,-1
1834157,1976988,3,2.164042561333445,0.6,16,0.75,1.0,2,-1
1834157,1984425,3,2.164042561333445,0.6,16,0.75,1.0,3,-1
1834157,1984660,3,2.164042561333445,0.6,16,0.75,1.0,0,-1
1834389,1857332,3,2.164042561333445,0.6,16,0.75,1.0,4,-1
1834389,1939857,3,2.164042561333445,0.6,16,0.75,1.0,4,-1
1834389,1944732,3,2.164042561333445,0.6,16,0.75,1.0,4,-1
1834389,1947029,3,2.164042561333445,0.6,16,0.75,1.0,4,-1
1834803,1834845,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,-1
1834803,1848520,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,-1
1834842,1865692,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,6,-1
1834842,1946545,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,9,-1
1834842,1947110,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,6,-1
1834842,1947300,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,9,-1
1834842,1947309,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,9,-1
1834842,1947317,5,2.7905531327562363,0.625,42,0.8333333333333333,1.0,6,-1
1834845,1848520,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,-1
1834905,1983343,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1834905,1986140,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1834905,1986181,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1834905,2003148,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1834905,2003514,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1835680,1872989,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835680,1874324,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,12,1
1835680,1874972,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,12,1
1835680,1935061,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835680,1936145,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,12,1
1835680,1939695,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835680,1940081,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835680,1940084,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835680,1940183,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1835794,1859071,3,2.164042561333445,0.6,16,0.75,1.0,8,-1
1835794,1927520,3,2.164042561333445,0.6,16,0.75,1.0,8,-1
1835794,1970743,3,2.164042561333445,0.6,16,0.75,1.0,8,-1
1835794,1984587,3,2.164042561333445,0.6,16,0.75,1.0,8,-1
1836108,1858479,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1939534,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,9,-1
1836108,1939748,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1939988,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1946658,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1946692,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1947164,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1947181,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836108,1947384,8,3.640956906507349,0.8,81,0.8888888888888891,1.0,17,-1
1836409,1936996,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,0,-1
1836409,1937030,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,0,-1
1836409,1978940,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,18,-1
1836409,1986123,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,18,-1
1836409,1986127,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,18,-1
1836409,1989481,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,0,-1
1836409,1989498,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,10,-1
1836409,1999779,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,10,-1
1836409,2003440,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,0,-1
1836409,2005734,13,4.926001361969367,0.8666666666666667,196,0.9285714285714283,1.0,18,-1
